K,N,switch_density_mean,switch_density_se,auc_gain_mean,auc_gain_se,win_rate,wins
2,10,0.45999999999999996,0.09213516640723501,0.03174143745646581,0.003132102577831908,1.0,10
3,10,0.67,0.12476644848141934,0.030192528713555034,0.005313121427539241,1.0,10
4,10,0.9600000000000002,0.19675139417831605,0.02780391760456885,0.003306834557403777,1.0,10
5,10,1.2799999999999998,0.22793761329705006,0.04112312682763388,0.0029223788323476927,1.0,10
6,10,1.5699999999999998,0.19553345834749952,0.02857355193547758,0.005335204011476532,1.0,10
