periodic_K,instance_seed,graph_seed,n,m_edges,switch_count,switch_density,Jcl_max_grid,budget_evals,auc_id,auc_fd,auc_gain,id_evals_end,fd_evals_end,id_best_end_norm,fd_best_end_norm,id_wins_auc
5,500016,7,12,29,16,1.6,58.68435659141913,2000.0,0.8427058348763733,0.7994112698907894,0.04329456498558393,1984.0,1953.0,0.8964552259667408,0.8675629110158528,1
6,600007,7,12,21,27,2.7,44.89751787790087,2000.0,0.7133838390075949,0.6514063991954283,0.061977439812166635,1984.0,1953.0,0.754302423009548,0.7043127609191889,1
6,600008,7,12,35,15,1.5,69.12441451991002,2000.0,0.8172713596539386,0.7864699638219421,0.03080139583199648,1984.0,1953.0,0.8514342474368711,0.8395225455995762,1
6,600009,7,12,26,4,0.4,55.06275047055232,2000.0,0.7628279820254097,0.7377998446905419,0.02502813733486775,1984.0,1953.0,0.7919429961917849,0.7947236409326671,1
6,600010,7,12,28,19,1.9,56.62545915059417,2000.0,0.8111078849198237,0.774492986945072,0.0366148979747517,1984.0,1953.0,0.8554577831701565,0.8426689919674999,1
6,600011,7,12,37,17,1.7,71.28585029932744,2000.0,0.7961176950132517,0.7708343067908491,0.025283388222402614,1984.0,1953.0,0.8291667302388811,0.831858913869068,1
6,600012,7,12,28,10,1.0,61.87937595395134,2000.0,0.7482153101995584,0.735888419473075,0.012326890726483408,1984.0,1953.0,0.7869253476360608,0.8117201441997886,1
6,600013,7,12,34,12,1.2,69.84665028757838,2000.0,0.8205777119687139,0.771533576738194,0.04904413523051987,1984.0,1953.0,0.864536121865965,0.8404173071372812,1
6,600014,7,12,27,17,1.7,59.53787175174543,2000.0,0.7428750016870911,0.7357542199136053,0.00712078177348574,1984.0,1953.0,0.7997269852655188,0.7909117448361508,1
6,600015,7,12,31,16,1.6,67.14673835660463,2000.0,0.7419533587279004,0.7261409069604886,0.01581245176741175,1984.0,1953.0,0.7714987619030202,0.7694449059057434,1
6,600016,7,12,33,20,2.0,68.06586591569567,2000.0,0.8192734782177455,0.7975474775370557,0.02172600068068986,1984.0,1953.0,0.864436728702845,0.8350282964490703,1
