instance,seed,family,K,n,p_edge,graph_seed,outer,inner,L,budget_evals,readout_shots,J_star,evals_final_ID,evals_final_FD,bestS_final_ID,bestS_final_FD,mode_final_ID,mode_final_FD,bestS_auc_ID,bestS_auc_FD,mode_auc_ID,mode_auc_FD
0,1,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,55.74570316389679,1984.0,1953.0,0.9690139424057003,0.9640621421489586,0.9602818536107146,0.9509675822054046,0.9522939395042633,0.9607591056598108,0.8891398275453156,0.8728789629457887
1,2,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,65.31769536219038,1984.0,1953.0,0.9055613380257922,0.8931690782853668,0.9055613380257922,0.8554583740379681,0.8928499298650077,0.8827059393267221,0.8514301453553745,0.8342562326938473
2,3,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,56.58470658956261,1984.0,1953.0,0.9625065708956162,0.9185424975478709,0.9248314084581171,0.9031351717659429,0.9300122317080604,0.9087134441190469,0.8825536716161364,0.8105320431020545
3,4,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,67.940448280371,1984.0,1953.0,0.942156258808206,0.9284282882627444,0.8165128460198718,0.8140465909624267,0.9225548749678311,0.878456898756767,0.7972587887185578,0.7496259331884154
4,5,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,63.07124760400659,1984.0,1953.0,0.9672358143793247,0.9502845398225834,0.8839828446605503,0.8119238679720847,0.9373362289719567,0.9280457805790001,0.8517201252675355,0.8305839110471372
5,6,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,50.12974117373565,1984.0,1953.0,0.9285266195435334,0.9249897812460984,0.9240528027324731,0.8990857854055873,0.9239636802696208,0.9186333960691161,0.892524167475677,0.8186747273170167
6,7,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,57.33843228577476,1984.0,1953.0,0.9726904695890676,0.97089614546132,0.7872183777651097,0.8231991754893181,0.971037436541903,0.9691330098488176,0.8724289023043686,0.8761976233370259
7,8,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,49.1382737947819,1984.0,1953.0,0.8707687636691699,0.8611161024338088,0.8707687636691699,0.7902222867742522,0.8642347600973318,0.8507787963587577,0.8314313034982634,0.7459115089088497
8,9,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,64.41857326108439,1984.0,1953.0,0.9756382302463986,0.9374631094245818,0.8968385828943959,0.8634660996239555,0.96494785374445,0.9156403165291527,0.8620752917375121,0.7892812478768375
9,10,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,56.925328051448645,1984.0,1953.0,0.9223182776171126,0.9281821691629532,0.9165953129574743,0.8346558219909063,0.9193685238289682,0.9194109214056903,0.8343725483032945,0.7784640940028593
10,11,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,63.391610046981164,1984.0,1953.0,0.9752336673534056,0.9719175383636912,0.9752336673534056,0.9716022831558034,0.9621002207036021,0.9574485546281991,0.9119944062251095,0.8827064286216698
11,12,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,62.24751942016683,1984.0,1953.0,0.9227989971321654,0.918023427854868,0.9223756695175929,0.9176425256012504,0.9165439559698731,0.8995787830365161,0.8479076637600534,0.7903650011717718
12,13,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,61.25852702050363,1984.0,1953.0,0.9787330641784827,0.9400043802178792,0.9566033298391433,0.9028096793784175,0.9400711597869036,0.9229708822006617,0.9002359381799797,0.8529989526200078
13,14,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,62.47654775226002,1984.0,1953.0,0.9515256262828046,0.930947939704112,0.918246683405688,0.9031991996158459,0.9360263579054408,0.9129452448960339,0.8992280912406759,0.861865951873171
14,15,linear,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,59.43239481354696,1984.0,1953.0,0.9515710771297535,0.956103472426067,0.8910419752577512,0.9046876178168421,0.9439075705579686,0.9421588074401042,0.884758723646994,0.8234448754004563
