instance,seed,family,K,n,p_edge,outer,inner,L,readout_shots,J_star,evals_final_ID,evals_final_FD,bestS_final_ID,bestS_final_FD,mode_final_ID,mode_final_FD,bestS_auc_ID,bestS_auc_FD,mode_auc_ID,mode_auc_FD
0,1,quadratic,nan,12.0,0.45,10.0,10.0,2.0,128.0,51.076639910275446,310.0,930.0,0.9989654244103797,0.9987596171789049,0.7146454988843577,0.7146819041965146,0.9461103818572766,0.9603962746524408,0.6829892731004691,0.6717009525086008
1,2,quadratic,nan,12.0,0.45,10.0,10.0,2.0,128.0,62.40880913980571,310.0,930.0,0.886449839344037,0.8920210829806878,0.752412500106966,0.799670079766333,0.8544821167735294,0.868605346590313,0.6150486107982189,0.6455563829558487
