restarts,inner_iters,N,auc_gain_mean,auc_gain_sem,win_rate
1,14,7,0.011643185788193835,0.00960566114047302,0.7142857142857143
1,28,7,0.01494451817461032,0.009731837706200674,0.8571428571428571
1,42,7,0.01239418554415604,0.005138793012383885,0.8571428571428571
2,14,7,0.012034268428210078,0.0063212164736168594,0.7142857142857143
2,28,7,0.014587388116920555,0.008493218206381553,0.8571428571428571
2,42,7,0.01336876618603173,0.008954353092400603,0.8571428571428571
4,14,7,0.019514390997200932,0.0028982399476999753,1.0
4,28,7,0.026017902185839152,0.0028183079579379017,1.0
4,42,7,0.011067523479493293,0.0040528355017919425,0.8571428571428571
