graph_class,n,p,seed,graph_seed,m_edges,kind,periodic_K,lam0,lam_star_grid,J_star_grid,budget_evals,inner,outer_max,L_vqe,eta0,eta_pow,step_clip,fd_c_frac,auc_id,auc_fd,delta_auc,final_id,final_fd,delta_final
er,8,0.2,1,7,5,periodic,6,0.8,2.2666666666666666,14.640117898545196,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.626928304031489,0.5674555328037797,0.05947277122770933,0.7642324168700807,0.7934704204869468,-0.029238003616866126
er,8,0.2,2,7,2,periodic,6,0.8,3.0666666666666664,6.5689995360979525,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.5894648082958631,0.4069997642407715,0.18246504405509162,0.9039834440880323,0.560410284610435,0.34357315947759737
er,8,0.2,3,7,8,periodic,6,0.8,2.9333333333333336,24.834653039968593,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7262285913440439,0.6440030996380385,0.08222549170600546,0.841622353581633,0.8067600199329692,0.03486233364866376
er,8,0.35,1,7,11,periodic,6,0.8,1.5999999999999996,26.881763184507804,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8850568539233403,0.733454326697016,0.15160252722632428,0.9701016679246797,0.8165123773906464,0.15358929053403325
er,8,0.35,2,7,8,periodic,6,0.8,0.6333333333333329,21.86097664818765,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.9246924953180691,0.5952819149601477,0.32941058035792137,0.9999535547098898,0.6981069011253465,0.3018466535845433
er,8,0.35,3,7,7,periodic,6,0.8,3.0999999999999996,18.80020980524135,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.6921232072325835,0.7363874419448738,-0.04426423471229035,0.8703418433542232,0.9533313572179276,-0.08298951386370446
er,8,0.5,1,7,14,periodic,6,0.8,2.333333333333333,31.782492824291076,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8106726979543635,0.7733616018743357,0.037311096080027806,0.9434828584567074,0.8853716850960545,0.05811117336065297
er,8,0.5,2,7,14,periodic,6,0.8,2.4333333333333336,30.26878725057469,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.9009876427145218,0.8830649468646962,0.017922695849825643,0.9999878611391474,0.9906521634250717,0.00933569771407572
er,8,0.5,3,7,14,periodic,6,0.8,1.8666666666666663,32.963579488398096,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7531548997633878,0.837000093146397,-0.08384519338300922,0.8263175344163699,0.9595280285490022,-0.1332104941326323
er,8,0.65,1,7,19,periodic,6,0.8,-0.13333333333333375,34.49131909179159,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8829347594782081,0.8309524206445842,0.05198233883362391,0.9487528235954631,0.9127818711395165,0.035970952455946614
er,8,0.65,2,7,19,periodic,6,0.8,-3.3,39.39139725013742,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8966901392179928,0.748679937624728,0.14801020159326483,0.9691465593756852,0.8186296772260346,0.15051688214965053
er,8,0.65,3,7,20,periodic,6,0.8,-0.36666666666666714,40.927236199721015,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8009705865107424,0.8107991051619516,-0.009828518651209261,0.8462427178577414,0.8849894692435805,-0.03874675138583905
er,10,0.2,1,7,6,periodic,6,0.8,3.866666666666667,16.28206752236397,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8064206103394623,0.6872436893306673,0.11917692100879507,0.9590327305647338,0.9440784780558151,0.014954252508918686
er,10,0.2,2,7,12,periodic,6,0.8,-3.166666666666667,30.700686486575925,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7132679575870564,0.710422172376885,0.0028457852101714254,0.8327880922691724,0.7993156697870172,0.033472422482155206
er,10,0.2,3,7,13,periodic,6,0.8,1.833333333333333,29.496154853148013,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8507638576684975,0.769464278833745,0.08129957883475247,0.9597400473343082,0.8731787805327232,0.08656126680158494
er,10,0.35,1,7,17,periodic,6,0.8,3.0666666666666664,38.39745673669895,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.791502646949627,0.7644849278371852,0.027017719112441774,0.8627953683023013,0.8612495306066267,0.0015458376956746234
er,10,0.35,2,7,12,periodic,6,0.8,-3.9333333333333336,29.506829757901038,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7218862316877299,0.6702969160523811,0.051589315635348854,0.8180913333682519,0.7697508950154496,0.04834043835280233
er,10,0.35,3,7,16,periodic,6,0.8,2.7666666666666666,32.96929005333244,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8097724377422406,0.675470258345217,0.1343021793970236,0.8876735626836054,0.7950850784778772,0.09258848420572818
er,10,0.5,1,7,25,periodic,6,0.8,-3.0,51.63384920195298,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7709229683893547,0.7745883954150664,-0.0036654270257117094,0.8364867402342246,0.8343170496073101,0.002169690626914522
