seed,kind,periodic_K,graph_seed,n,p_edge,shots,budget_evals,inner_iters,restarts,Jstar,auc_id,auc_fd,auc_gain,evals_end_id,evals_end_fd
7,periodic,6,7,12,0.45,0,2000.0,14,1,59.57906120070327,0.7917727141610262,0.7420300917976816,0.04974262236334459,1978.0,1935.0
7,periodic,6,7,12,0.45,0,2000.0,28,1,59.57906120070327,0.780578701314909,0.768136371607701,0.012442329707208044,1955.0,1785.0
7,periodic,6,7,12,0.45,0,2000.0,42,1,59.57906120070327,0.8065867837292486,0.7918217373383364,0.014765046390912251,1905.0,1905.0
7,periodic,6,7,12,0.45,0,2000.0,14,2,59.57906120070327,0.7532859731430844,0.7211610582189009,0.03212491492418357,1955.0,1785.0
7,periodic,6,7,12,0.45,0,2000.0,28,2,59.57906120070327,0.7684095624179912,0.739054330381577,0.029355232036414214,1859.0,1521.0
7,periodic,6,7,12,0.45,0,2000.0,42,2,59.57906120070327,0.7636037322576065,0.7577906960901426,0.00581303616746387,1771.0,1518.0
7,periodic,6,7,12,0.45,0,2000.0,14,4,59.57906120070327,0.7653797323864203,0.7046303246585677,0.060749407727852645,1859.0,1521.0
7,periodic,6,7,12,0.45,0,2000.0,28,4,59.57906120070327,0.7457232450952672,0.7284483900798284,0.017274855015438795,1685.0,1011.0
7,periodic,6,7,12,0.45,0,2000.0,42,4,59.57906120070327,0.7429968239936062,0.7342719100863263,0.008724913907279919,1515.0,1515.0
8,periodic,6,7,12,0.45,0,2000.0,14,1,48.72508639348093,0.7713270912010354,0.7368558975935454,0.03447119360748996,1978.0,1935.0
8,periodic,6,7,12,0.45,0,2000.0,28,1,48.72508639348093,0.7882610600812591,0.7465811746919194,0.041679885389339644,1955.0,1785.0
8,periodic,6,7,12,0.45,0,2000.0,42,1,48.72508639348093,0.7795885609267565,0.7452857662946435,0.034302794632113054,1905.0,1905.0
8,periodic,6,7,12,0.45,0,2000.0,14,2,48.72508639348093,0.7483986920083571,0.6954640418489583,0.0529346501593988,1955.0,1785.0
8,periodic,6,7,12,0.45,0,2000.0,28,2,48.72508639348093,0.743976961432232,0.7188793619057154,0.02509759952651658,1859.0,1521.0
8,periodic,6,7,12,0.45,0,2000.0,42,2,48.72508639348093,0.7709364385649461,0.7443485018809388,0.026587936684007274,1771.0,1518.0
8,periodic,6,7,12,0.45,0,2000.0,14,4,48.72508639348093,0.7405666601792825,0.7012520458159948,0.03931461436328776,1859.0,1521.0
8,periodic,6,7,12,0.45,0,2000.0,28,4,48.72508639348093,0.7288440103755696,0.7039785830563119,0.02486542731925767,1685.0,1011.0
8,periodic,6,7,12,0.45,0,2000.0,42,4,48.72508639348093,0.7321783565247608,0.7151222360217028,0.017056120503058048,1515.0,1515.0
